Content,Video title,Video publish time,Duration,Views,Subscribers gained,Comments added,comments_per_1000_views
Q0qAFl3_YF4,Y ahora quiero confesar las ganas q tengo de volverte a abrazar el tocar tu cuerpo volverte a besar,2025-12-30,57.0,8,0,1,125.0
dXlJSWf22bY,Al conocerte no podía saberLa importancia que ibas a tener en mí,2025-12-27,60.0,146,1,1,6.8493150684931505
b864lO2Bvrc,Y ahora quiero confesar las ganas q tengo de volverte a abrazar el tocar tu cuerpo volverte a besar,2025-12-31,57.0,197,0,1,5.076142131979695
C-NP4vghHZE,Seré un desconocido… #cantautor #musica,2025-12-08,60.0,200,1,1,5.0
C-YreVbr0mk,"Intentaré fingir como que no pasó nada, hacer como que sigues aquí abrazándome por la espalda",2025-12-18,52.0,205,0,1,4.878048780487805
IRgVZ6tr8TU,Intentaré fingir como que no pasó nada hacer como que sigues aquí abrazándome por la espalda,2025-12-24,52.0,782,0,1,1.278772378516624
SboZJ27VS-E,Intentaré fingir como que no pasó nada hacer como que sigues aquí abrazándome por la espalda,2025-12-24,52.0,1140,3,1,0.8771929824561404
vw6U8ETtW5c,Sí me voy pero no creas q es con la única intención de apartarme de ti,2025-12-17,60.0,1369,0,1,0.7304601899196493
U-Sb9_N0PNg,"Intentaré fingir como qué no pasó nada, hacer cómo que sigues aquí abrazándome por la espalda",2025-12-19,52.0,1815,2,1,0.5509641873278236
q250qbkyDWY,"Y qué pasó con la soñadora, aquella niña que solías tú ser? Vuelve al brillo de tus ojos…",2025-12-20,28.0,1450,0,0,0.0
iC5YF9_1sLk,"Sí, me voy pero no creas que es con la única intención de apartarme de ti",2025-12-22,60.0,1427,1,0,0.0
NgXUWHuGvqA,"Sí, me voy pero no creas que es con la única intención de apartarme de ti",2025-12-23,60.0,1316,2,0,0.0
qSYlYm_keyA,"Sí, me voy pero no creas que es con la única intención de apartarme de ti",2025-12-23,60.0,1180,0,0,0.0
ZTlmvDxHR3U,"Sí, me voy pero no creas que es con la única intención de apartarme de ti",2025-12-23,60.0,1096,2,0,0.0
27zn9VSuWek,"Me voy, pero me llevo el recuerdo del día en que te vi por vez primera #musica #cantautor",2025-12-15,60.0,884,3,0,0.0
6CWElxDzL4M,"Sí, me voy pero no creas que es con la única intención de apartarme de ti",2025-12-23,60.0,838,2,0,0.0
qQ18ERDtjO0,"Sí, me voy pero no creas que es con la única intención de apartarme de ti",2025-12-23,60.0,790,1,0,0.0
rFdbkMDTbkE,Una frase ii V I de las que estoy subiendo a mi canal de teoría musical,2026-02-03,10.0,723,0,0,0.0
Tv2IspuTnBI,Cómo le digo a mamá que tú ya no estás? Cómo le digo a mamá que no vas a llegar?,2025-12-21,60.0,667,2,0,0.0
t98SF1xbxas,"Sí, me voy pero no creas que es con la única intención de apartarme de ti",2025-12-23,60.0,613,0,0,0.0
